Brand,Generic,Class,Treatment,Schedule
Robaxin,Methocarbamol,Muscle Relaxer,Pain Relief,NCLM
Bentyl,Dicyclomine,Anticholinergics,Irritable Bowel Syndrome,NCLM
Sinemet,Carbidopa/Levodopa,Dopamine Agonist,Parkinson's,
Macrobid,Nitrofurantoin,Antibiotic,Bacterial Urinary Tract Infection Treatment,NCLM
Prevacid,Lansoprazole,PPI,Acid-Reflux/GERD,OTC & NCLM (strength)
Myrbetriq,Mirabegron,Beta-3 Agonist,Overactive Bladder,NCLM
Hytrin,Terazosin,Alpha-Blocker,"Hypertension, Enlarged Prostate",NCLM
Nasonex,Mometasone,Corticosteroid,"Allergies, Anti-Inflammatory",OTC
Bactroban,Mupirocin,Topical Antibiotic,Bacterial Infection ,NCLM
Focalin,Dexmethylphenidate,Stimulant,ADHD,II
Invokana,Canagliflozin,SGLT-2 Inhibitor,Diabetes Agent,NCLM
Prometrium,Progesterone,Female Hormone Therapy,Female Hormone Therapy,NCLM
Omnicef,Cefdinir,Cephalosporin Antibiotics,Bacterial Infections,NCLM
Bupap,Acetaminophen/Butalbital,Pain Releiver/Relaxant,Migraine Relief,III
Pulmicort,Budesonide,Inhaled Corticosteroid,Asthma Treatment,NCLM
"Bengay, Icy Hot",Menthol,Pain Reliever,Pain Reliever,OTC
Cordarone,Amiodarone,Class III Anti-Arrhythmic,Arrhythmias,NCLM
Opill,Norgestrel,Oral Contraceptive,Pregnancy Prevention,OTC
Tradjenta,Linagliptin,DPP-4 Inhibitor ,Diabetes Agents ,NCLM
Lexapro,Escitalopram,SSRI,Antidepressant,NCLM
Xanax,Alprazolam,Benzodiazepine,Anxiety,IV
Wellbutrin,Bupropion,Antidepressant,Depression,NCLM
Deltasone,Prednisone,Corticosteroid,Inflammation,NCLM
Dupixent,Dupilumab,Interleukin inhibitor,"Eczema, Asthma, COPD",NCLM
